price,area,status,bhk,location,bath,City
26100000,1548,Ready to move,3,Adyar,2,Chennai
27800000,1652,Ready to move,3,Adyar,2,Chennai
27400000,1627,Ready to move,3,Adyar,2,Chennai
21000000,1381,Under Construction,3,Adyar,3,Chennai
23000000,1755,Under Construction,3,Adyar,3,Chennai
32100000,2380,Ready to move,3,Adyar,3,Chennai
51700000,2348,Ready to move,3,Alwarpet,2,Chennai
54500000,2476,Ready to move,3,Alwarpet,2,Chennai
61200000,2781,Ready to move,4,Alwarpet,3,Chennai
59700000,2713,Ready to move,4,Alwarpet,3,Chennai
48100000,2291,Ready to move,3,Alwarpet,3,Chennai
41700000,1989,Ready to move,3,Alwarpet,3,Chennai
90300000,4302,Ready to move,4,Alwarpet,3,Chennai
90300000,4302,Ready to move,4,Alwarpet,3,Chennai
41600000,2315,Under Construction,3,Alwarpet,3,Chennai
32300000,1850,Under Construction,3,Alwarpet,3,Chennai
4900000,1028,Ready to move,2,Ambattur,2,Chennai
6700000,1195,Ready to move,3,Ambattur,2,Chennai
3300000,601,Ready to move,1,Ambattur,1,Chennai
7900000,1440,Under Construction,3,Ambattur,3,Chennai
4044000,834,Under Construction,2,Ambattur,2,Chennai
5917000,1220,Under Construction,2,Ambattur,2,Chennai
5917000,1220,Under Construction,2,Ambattur,2,Chennai
3734000,770,Under Construction,2,Ambattur,2,Chennai
3735000,770,Under Construction,2,Ambattur,2,Chennai
4044000,834,Under Construction,2,Ambattur,2,Chennai
4219000,870,Under Construction,2,Ambattur,2,Chennai
3734000,770,Under Construction,2,Ambattur,2,Chennai
4112000,848,Under Construction,2,Ambattur,2,Chennai
3734000,770,Under Construction,2,Ambattur,2,Chennai
8000000,1527,Ready to move,3,Ambattur,2,Chennai
5300000,1012,Ready to move,2,Ambattur,2,Chennai
4219000,870,Under Construction,2,Ambattur,2,Chennai
3734000,770,Under Construction,2,Ambattur,2,Chennai
4219000,870,Under Construction,2,Ambattur,2,Chennai
3734000,770,Under Construction,2,Ambattur,2,Chennai
4219000,870,Under Construction,2,Ambattur,2,Chennai
3734000,770,Under Construction,2,Ambattur,2,Chennai
4044000,834,Under Construction,2,Ambattur,2,Chennai
4112000,848,Under Construction,2,Ambattur,2,Chennai
4219000,870,Under Construction,2,Ambattur,2,Chennai
3734000,770,Under Construction,2,Ambattur,2,Chennai
4044000,834,Under Construction,2,Ambattur,2,Chennai
24000000,1500,Ready to move,3,Anna Nagar,3,Chennai
22400000,1450,Under Construction,3,Anna Nagar,2,Chennai
24000000,1500,Under Construction,3,Anna Nagar,2,Chennai
15800000,1025,Under Construction,2,Anna Nagar,1,Chennai
24200000,1565,Ready to move,3,Anna Nagar,2,Chennai
24000000,1500,Under Construction,3,Anna Nagar,2,Chennai
24000000,1500,Under Construction,3,Anna Nagar,2,Chennai
24000000,1500,Under Construction,3,Anna Nagar,2,Chennai
19100000,1235,Under Construction,3,Anna Nagar,2,Chennai
22100000,1250,Under Construction,3,Anna Nagar,2,Chennai
26600000,1540,Under Construction,3,Anna Nagar,2,Chennai
26400000,1500,Under Construction,3,Anna Nagar,3,Chennai
22000000,1500,Ready to move,3,Anna Nagar,2,Chennai
23000000,1590,Ready to move,3,Anna Nagar,3,Chennai
32000000,2130,Ready to move,3,Anna Nagar,3,Chennai
20500000,1283,Ready to move,3,Anna Nagar,3,Chennai
5843000,1113,Under Construction,2,Ayanambakkam,1,Chennai
5496000,1047,Under Construction,2,Ayanambakkam,1,Chennai
5843000,1113,Under Construction,2,Ayanambakkam,1,Chennai
5481000,1044,Under Construction,2,Ayanambakkam,1,Chennai
5496000,1047,Under Construction,2,Ayanambakkam,1,Chennai
5843000,1113,Under Construction,2,Ayanambakkam,1,Chennai
5481000,1044,Under Construction,2,Ayanambakkam,1,Chennai
5496000,1047,Under Construction,2,Ayanambakkam,1,Chennai
5481000,1044,Under Construction,2,Ayanambakkam,1,Chennai
5076000,967,Under Construction,2,Ayanambakkam,1,Chennai
5076000,967,Under Construction,2,Ayanambakkam,1,Chennai
5890000,1122,Under Construction,2,Ayanambakkam,1,Chennai
5890000,1122,Under Construction,2,Ayanambakkam,1,Chennai
5701000,1086,Under Construction,2,Ayanambakkam,1,Chennai
5701000,1086,Under Construction,2,Ayanambakkam,1,Chennai
5076000,1045,Ready to move,2,Chromepet,2,Chennai
3377000,866,Under Construction,2,Chromepet,1,Chennai
3740000,770,Ready to move,2,Chromepet,1,Chennai
3099000,638,Ready to move,2,Chromepet,1,Chennai
5922000,1245,Ready to move,3,Chromepet,2,Chennai
4347000,895,Ready to move,2,Chromepet,1,Chennai
6155000,1294,Ready to move,3,Chromepet,2,Chennai
5832000,1226,Ready to move,3,Chromepet,2,Chennai
4979000,1025,Ready to move,2,Chromepet,1,Chennai
4683000,964,Ready to move,2,Chromepet,1,Chennai
5884000,1237,Ready to move,3,Chromepet,2,Chennai
6992000,1470,Ready to move,3,Chromepet,3,Chennai
4464000,919,Ready to move,2,Chromepet,2,Chennai
6388000,1343,Ready to move,3,Chromepet,2,Chennai
6074000,1277,Ready to move,3,Chromepet,2,Chennai
