,price,area,status,bhk,location,builder,bath
0,261.0,1548,Ready to move,3,Adyar,other,2.0
1,278.0,1652,Ready to move,3,Adyar,other,2.0
2,274.0,1627,Ready to move,3,Adyar,other,2.0
3,210.0,1381,Under Construction,3,Adyar,seller,3.0
6,230.0,1755,Under Construction,3,Adyar,HomeFirst,3.0
7,321.0,2380,Ready to move,3,Adyar,HomeFirst,3.0
8,517.0,2348,Ready to move,3,Alwarpet,Olympia Group,2.0
9,545.0,2476,Ready to move,3,Alwarpet,Olympia Group,2.0
10,612.0,2781,Ready to move,4,Alwarpet,Olympia Group,3.0
11,597.0,2713,Ready to move,4,Alwarpet,Olympia Group,3.0
12,481.0,2291,Ready to move,3,Alwarpet,Vinay Asrani,3.0
13,417.0,1989,Ready to move,3,Alwarpet,Vinay Asrani,3.0
14,903.0,4302,Ready to move,4,Alwarpet,Vinay Asrani,3.0
15,903.0,4302,Ready to move,4,Alwarpet,Vinay Asrani,3.0
16,416.0,2315,Under Construction,3,Alwarpet,seller,3.0
17,323.0,1850,Under Construction,3,Alwarpet,HomeFirst,3.0
18,49.0,1028,Ready to move,2,Ambattur,other,2.0
19,67.0,1195,Ready to move,3,Ambattur,other,2.0
20,33.0,601,Ready to move,1,Ambattur,other,1.0
21,79.0,1440,Under Construction,3,Ambattur,seller,3.0
22,40.44,834,Under Construction,2,Ambattur,seller,2.0
23,59.17,1220,Under Construction,2,Ambattur,seller,2.0
24,59.17,1220,Under Construction,2,Ambattur,seller,2.0
25,37.34,770,Under Construction,2,Ambattur,seller,2.0
26,37.35,770,Under Construction,2,Ambattur,seller,2.0
27,40.44,834,Under Construction,2,Ambattur,seller,2.0
28,42.19,870,Under Construction,2,Ambattur,seller,2.0
29,37.34,770,Under Construction,2,Ambattur,seller,2.0
30,41.12,848,Under Construction,2,Ambattur,seller,2.0
31,37.34,770,Under Construction,2,Ambattur,seller,2.0
32,80.0,1527,Ready to move,3,Ambattur,ARB HOMES,2.0
33,53.0,1012,Ready to move,2,Ambattur,ARB HOMES,2.0
34,42.19,870,Under Construction,2,Ambattur,seller,2.0
35,37.34,770,Under Construction,2,Ambattur,seller,2.0
36,42.19,870,Under Construction,2,Ambattur,seller,2.0
37,37.34,770,Under Construction,2,Ambattur,seller,2.0
38,42.19,870,Under Construction,2,Ambattur,seller,2.0
39,37.34,770,Under Construction,2,Ambattur,seller,2.0
40,40.44,834,Under Construction,2,Ambattur,seller,2.0
41,41.12,848,Under Construction,2,Ambattur,seller,2.0
42,42.19,870,Under Construction,2,Ambattur,seller,2.0
43,37.34,770,Under Construction,2,Ambattur,seller,2.0
44,40.44,834,Under Construction,2,Ambattur,seller,2.0
45,240.0,1500,Ready to move,3,Anna Nagar,other,3.0
46,224.0,1450,Under Construction,3,Anna Nagar,other,2.0
47,240.0,1500,Under Construction,3,Anna Nagar,other,2.0
48,158.0,1025,Under Construction,2,Anna Nagar,other,1.0
49,242.0,1565,Ready to move,3,Anna Nagar,India Builders Limited,2.0
50,240.0,1500,Under Construction,3,Anna Nagar,other,2.0
51,240.0,1500,Under Construction,3,Anna Nagar,other,2.0
52,240.0,1500,Under Construction,3,Anna Nagar,other,2.0
53,191.0,1235,Under Construction,3,Anna Nagar,other,2.0
54,221.0,1250,Under Construction,3,Anna Nagar,India Builders Limited,2.0
55,266.0,1540,Under Construction,3,Anna Nagar,India Builders Limited,2.0
56,264.0,1500,Under Construction,3,Anna Nagar,India Builders Limited,3.0
57,220.0,1500,Ready to move,3,Anna Nagar,seller,2.0
58,230.0,1590,Ready to move,3,Anna Nagar,seller,3.0
59,320.0,2130,Ready to move,3,Anna Nagar,HomeFirst,3.0
60,205.0,1283,Ready to move,3,Anna Nagar,HomeFirst,3.0
