Area,BHK,Bathroom,Furnishing,Price,Locality,City
6617,5,6,Ready to move,142200000,Royapettah,Chennai
6500,5,6,Ready to move,139700000,Royapettah,Chennai
6498,5,6,Ready to move,139700000,Royapettah,Chennai
4688,5,4,Unfurnished,135000000,"The Leela Sky Villas, Patel Nagar",Delhi
4688,5,4,Unfurnished,135000000,"The Leela Sky Villas, Patel Nagar",Delhi
4688,5,4,Unfurnished,135000000,"The Leela Sky Villas, Patel Nagar",Delhi
7200,4,4,Semi-Furnished,120000000,"Maharani Bagh, New Friends Colony",Delhi
3901,4,4,Unfurnished,93000000,"The Leela Sky Villas, Patel Nagar",Delhi
3901,4,4,Unfurnished,93000000,"The Leela Sky Villas, Patel Nagar",Delhi
3901,4,4,Unfurnished,93000000,"The Leela Sky Villas, Patel Nagar",Delhi
4302,4,3,Ready to move,90300000,Alwarpet,Chennai
4302,4,3,Ready to move,90300000,Alwarpet,Chennai
4200,3,2,Ready to move,90300000,Royapettah,Chennai
3500,4,4,Unfurnished,90000000,New Friends Colony,Delhi
1800,4,4,Semi-Furnished,87500000,Safdarjung Enclave,Delhi
3500,4,4,Semi-Furnished,85000000,"Kailash Colony, Greater Kailash",Delhi
4800,3,4,Semi-Furnished,85000000,"Maharani Bagh, New Friends Colony",Delhi
3899,3,2,Ready to move,83800000,Royapettah,Chennai
3874,3,2,Ready to move,83200000,Royapettah,Chennai
4150,4,4,Unfurnished,82500000,Safdarjung Enclave,Delhi
3800,3,2,Ready to move,81700000,Royapettah,Chennai
2500,4,4,Semi-Furnished,80000000,Punjabi Bagh West,Delhi
2250,4,4,Semi-Furnished,80000000,Safdarjung Enclave,Delhi
3500,4,4,Furnished,75100000,Punjabi Bagh West,Delhi
2650,4,4,Unfurnished,75000000,"Kailash Colony, Greater Kailash",Delhi
4500,4,4,Semi-Furnished,75000000,New Friends Colony,Delhi
2500,4,4,Semi-Furnished,75000000,"Sukhdev Vihar, Okhla",Delhi
4000,4,4,Semi-Furnished,72500000,Safdarjung Enclave,Delhi
3405,5,4,Semi-Furnished,71500000,"Common Wealth Games Village, Common",Delhi
2400,4,4,Semi-Furnished,70000000,"Find Homes, Greater Kailash 2",Delhi
2400,4,4,Semi-Furnished,70000000,"Find Homes, Greater Kailash 2",Delhi
2450,4,4,Furnished,70000000,"Friends Colony West, New Friends Co",Delhi
4500,4,4,Semi-Furnished,70000000,"Kailash Colony, Greater Kailash",Delhi
2000,4,4,Semi-Furnished,70000000,New Friends Colony,Delhi
4500,4,4,Semi-Furnished,70000000,New Friends Colony,Delhi
2475,3,3,Furnished,70000000,"Yamuna Vihar, Shahdara",Delhi
3135,3,3,Ready to move,67400000,Royapettah,Chennai
3139,4,3,Ready to move,67400000,Royapettah,Chennai
2799,4,4,Semi-Furnished,65000000,"Kailash Colony, Greater Kailash",Delhi
1800,4,4,Semi-Furnished,65000000,New Friends Colony,Delhi
2035,4,4,Unfurnished,65000000,Safdarjung Enclave,Delhi
2160,3,3,Furnished,65000000,"Yamuna Vihar, Shahdara",Delhi
3000,3,2,Ready to move,64500000,Royapettah,Chennai
3681,4,4,Under Construction,64400000,T Nagar,Chennai
2961,3,2,Ready to move,63600000,Royapettah,Chennai
2960,4,3,Ready to move,63600000,Royapettah,Chennai
2959,4,3,Ready to move,63600000,Royapettah,Chennai
2958,3,2,Ready to move,63500000,Royapettah,Chennai
2957,4,3,Ready to move,63500000,Royapettah,Chennai
1800,3,4,Semi-Furnished,63000000,Chhattarpur,Delhi
2050,4,4,Semi-Furnished,62500000,"Geetanjali Enclave, Malviya Nagar",Delhi
2781,4,3,Ready to move,61200000,Alwarpet,Chennai
2700,4,3,Semi-Furnished,60000000,"APL Builder Floor, Greater Kailash ",Delhi
3600,4,4,Semi-Furnished,60000000,"Geetanjali Enclave, Malviya Nagar",Delhi
4500,4,4,Semi-Furnished,60000000,New Friends Colony,Delhi
1500,3,3,Semi-Furnished,60000000,New Friends Colony,Delhi
2550,4,4,Unfurnished,60000000,New Friends Colony,Delhi
2713,4,3,Ready to move,59700000,Alwarpet,Chennai
2250,4,4,Semi-Furnished,57500000,"Geetanjali Enclave, Malviya Nagar",Delhi
2925,4,4,Unfurnished,57500000,Lajpat Nagar 3,Delhi
2925,4,4,Unfurnished,57500000,Lajpat Nagar 3,Delhi
2306,3,3,Unfurnished,57000000,"The Leela Sky Villas, Patel Nagar",Delhi
2306,3,3,Unfurnished,57000000,"The Leela Sky Villas, Patel Nagar",Delhi
2306,3,3,Unfurnished,57000000,"The Leela Sky Villas, Patel Nagar",Delhi
1900,3,3,Semi-Furnished,55300000,"The Leela Sky Villas, Patel Nagar",Delhi
4500,4,4,Semi-Furnished,55000000,"Kailash Colony, Greater Kailash",Delhi
2700,4,4,Semi-Furnished,55000000,Lajpat Nagar 3,Delhi
4500,4,4,Semi-Furnished,55000000,New Friends Colony,Delhi
2100,4,4,Semi-Furnished,55000000,Safdarjung Enclave,Delhi
1800,4,3,Semi-Furnished,55000000,"Vasant Vihar Builder Floor, Vasant ",Delhi
1800,4,3,Semi-Furnished,55000000,"Vasant Vihar Builder Floor, Vasant ",Delhi
2476,3,2,Ready to move,54500000,Alwarpet,Chennai
2500,4,4,Semi-Furnished,52500000,Project Commonwealth Games Village ,Delhi
2805,4,4,Unfurnished,52300000,"The Amaryllis, Karol Bagh",Delhi
2050,4,4,Semi-Furnished,52100000,Saket,Delhi
2348,3,2,Ready to move,51700000,Alwarpet,Chennai
2107,4,4,Semi-Furnished,51100000,"Kailash Colony, Greater Kailash",Delhi
22050,4,4,Semi-Furnished,51000000,Greater Kailash 1,Delhi
22050,4,4,Semi-Furnished,51000000,Greater Kailash 1,Delhi
2500,3,3,Semi-Furnished,50000000,"Maharani Bagh, New Friends Colony",Delhi
1400,3,3,Semi-Furnished,50000000,New Friends Colony,Delhi
1800,3,3,Furnished,50000000,"Patel Nagar East, Patel Nagar",Delhi
2250,4,4,Semi-Furnished,50000000,"Punjabi Bagh Enclave, Punjabi Bagh ",Delhi
2291,3,3,Ready to move,48100000,Alwarpet,Chennai
2200,4,4,Semi-Furnished,47500000,"Kailash Colony, Greater Kailash",Delhi
2200,4,4,Semi-Furnished,47500000,"Kailash Colony, Greater Kailash",Delhi
2050,4,4,Semi-Furnished,47500000,Saket,Delhi
2601,4,3,Under Construction,45500000,T Nagar,Chennai
