,Area,BHK,Bathroom,Furnishing,Price,Type,Locality,Parking
0,800.0,3.0,2.0,Semi-Furnished,6500000.0,Builder_Floor,Rohini Sector 25,1.0
1,750.0,2.0,2.0,Semi-Furnished,5000000.0,Apartment,"J R Designers Floors, Rohini Sector",1.0
2,950.0,2.0,2.0,Furnished,15500000.0,Apartment,other,1.0
3,600.0,2.0,2.0,Semi-Furnished,4200000.0,Builder_Floor,Rohini Sector 24,1.0
4,650.0,2.0,2.0,Semi-Furnished,6200000.0,Builder_Floor,other,1.0
5,1300.0,4.0,3.0,Semi-Furnished,15500000.0,Builder_Floor,Rohini Sector 24,1.0
6,1350.0,4.0,3.0,Semi-Furnished,10000000.0,Builder_Floor,Rohini Sector 24,1.0
7,650.0,2.0,2.0,Semi-Furnished,4000000.0,Apartment,other,1.0
8,985.0,3.0,3.0,Unfurnished,6800000.0,Builder_Floor,other,1.0
9,1300.0,4.0,4.0,Semi-Furnished,15000000.0,Builder_Floor,Rohini Sector 22,1.0
10,1100.0,3.0,2.0,Semi-Furnished,6200000.0,Builder_Floor,Rohini Sector 20,1.0
11,870.0,3.0,2.0,Semi-Furnished,7700000.0,Builder_Floor,Rohini Sector 25,1.0
12,630.0,2.0,2.0,Semi-Furnished,5500000.0,Builder_Floor,Rohini Sector 24,1.0
13,660.0,2.0,2.0,Semi-Furnished,5000000.0,Builder_Floor,Rohini Sector 24,1.0
14,344.4448,2.0,2.0,Semi-Furnished,3310000.0,Builder_Floor,other,1.0
15,660.0,2.0,2.0,Semi-Furnished,4700000.0,Builder_Floor,other,1.0
16,550.0,2.0,2.0,Semi-Furnished,4500000.0,Builder_Floor,Rohini Sector 22,1.0
17,1100.0,4.0,3.0,Semi-Furnished,17000000.0,Builder_Floor,other,1.0
18,1150.0,3.0,3.0,Semi-Furnished,25000000.0,Apartment,other,1.0
19,650.0,2.0,2.0,Semi-Furnished,6000000.0,Builder_Floor,Rohini Sector 24,1.0
20,850.0,2.0,2.0,Semi-Furnished,11000000.0,Apartment,other,1.0
21,900.0,3.0,2.0,Semi-Furnished,4500000.0,Builder_Floor,other,4.0
22,430.556,1.0,1.0,Furnished,5300000.0,Apartment,other,2.0
23,900.0,2.0,2.0,Semi-Furnished,10500000.0,Apartment,other,1.0
24,914.9315,2.0,2.0,Semi-Furnished,12000000.0,Builder_Floor,other,1.0
25,1100.0,3.0,3.0,Furnished,7000000.0,Builder_Floor,Rohini Sector 20,1.0
26,800.0,3.0,2.0,Semi-Furnished,7000000.0,Builder_Floor,Rohini Sector 25,1.0
27,500.0,1.0,1.0,Semi-Furnished,3400000.0,Apartment,other,1.0
28,28.0,2.0,2.0,Furnished,5000000.0,Apartment,Rohini Sector 25,1.0
29,2160.0,4.0,4.0,Furnished,21000000.0,Builder_Floor,other,1.0
31,800.0,2.0,2.0,Unfurnished,15000000.0,Builder_Floor,Lajpat Nagar 1,1.0
32,900.0,2.0,2.0,Unfurnished,10500000.0,Builder_Floor,Lajpat Nagar,1.0
33,1080.0,3.0,2.0,Semi-Furnished,22500000.0,Builder_Floor,"Vikram Vihar, Lajpat Nagar",1.0
34,750.0,2.0,2.0,Unfurnished,13600000.0,Builder_Floor,Lajpat Nagar 4,2.0
35,1450.0,3.0,3.0,Semi-Furnished,30000000.0,Builder_Floor,Lajpat Nagar 3,1.0
36,900.0,2.0,2.0,Semi-Furnished,13500000.0,Apartment,Lajpat Nagar,1.0
37,810.0,2.0,2.0,Semi-Furnished,8910000.0,Builder_Floor,other,1.0
38,1350.0,3.0,4.0,Unfurnished,25000000.0,Apartment,Lajpat Nagar,4.0
39,1710.0,3.0,3.0,Semi-Furnished,26000000.0,Builder_Floor,Lajpat Nagar 2,1.0
40,1650.0,3.0,3.0,Semi-Furnished,30000000.0,Builder_Floor,Lajpat Nagar,1.0
41,1280.0,2.0,2.0,Furnished,12500000.0,Builder_Floor,Lajpat Nagar,1.0
42,1260.0,3.0,3.0,Semi-Furnished,21000000.0,Builder_Floor,Lajpat Nagar 3,1.0
43,1130.0,2.0,2.0,Unfurnished,7800000.0,Builder_Floor,Lajpat Nagar 4,1.0
44,600.0,2.0,2.0,Semi-Furnished,11500000.0,Builder_Floor,"Amar Colony, Lajpat Nagar",1.0
45,850.0,2.0,2.0,Semi-Furnished,11500000.0,Builder_Floor,Lajpat Nagar 1,2.0
46,1500.0,3.0,3.0,Semi-Furnished,26000000.0,Builder_Floor,Lajpat Nagar 2,2.0
47,900.0,2.0,2.0,Semi-Furnished,13000000.0,Builder_Floor,"Amar Colony, Lajpat Nagar",1.0
48,1000.0,3.0,3.0,Semi-Furnished,22000000.0,Builder_Floor,"Vikram Vihar, Lajpat Nagar",1.0
49,900.0,2.0,2.0,Semi-Furnished,15800000.0,Builder_Floor,Lajpat Nagar 2,2.0
50,2925.0,4.0,4.0,Unfurnished,57500000.0,Builder_Floor,Lajpat Nagar 3,2.0
51,900.0,2.0,2.0,Unfurnished,10000000.0,Builder_Floor,Lajpat Nagar 1,2.0
52,1600.0,3.0,3.0,Unfurnished,30000000.0,Builder_Floor,Lajpat Nagar 3,2.0
53,1143.0,3.0,3.0,Unfurnished,22000000.0,Builder_Floor,"Vikram Vihar, Lajpat Nagar",2.0
54,1150.0,3.0,3.0,Semi-Furnished,24000000.0,Builder_Floor,"Vikram Vihar, Lajpat Nagar",1.0
55,1500.0,3.0,3.0,Semi-Furnished,31500000.0,Builder_Floor,Lajpat Nagar 3,1.0
56,850.0,2.0,2.0,Semi-Furnished,14600000.0,Builder_Floor,Lajpat Nagar 2,1.0
58,890.0,2.0,2.0,Semi-Furnished,8300000.0,Builder_Floor,Lajpat Nagar 1,2.0
59,1100.0,3.0,3.0,Unfurnished,22500000.0,Builder_Floor,"Vikram Vihar, Lajpat Nagar",2.0
60,750.0,1.0,1.0,Furnished,4600000.0,Apartment,other,1.0
61,850.0,2.0,1.0,Semi-Furnished,1900000.0,Apartment,"Siddhartha Heights, Dwarka Sector 2",1.0
62,1350.0,3.0,2.0,Unfurnished,5130000.0,Apartment,MTNL Employees House Welfare Societ,1.0
63,1387.0,4.0,4.0,Unfurnished,5890000.0,Apartment,"Delhi Homes Yojana, Dwarka Sector 2",1.0
64,1050.0,3.0,2.0,Unfurnished,3700000.0,Apartment,"The Elite Spire, Dwarka Sector 21",1.0
65,1500.0,3.0,2.0,Unfurnished,17400000.0,Apartment,"Kunj Vihar Apartment, Dwarka Sector",1.0
66,1200.0,3.0,3.0,Semi-Furnished,15500000.0,Apartment,"Ashirwad Apartments, Dwarka Sector ",1.0
67,700.0,2.0,1.0,Semi-Furnished,2400000.0,Apartment,MTNL Employees House Welfare Societ,2.0
